ID,X,Y,Z
2600,75.00,115.00,5.83
2601,75.00,116.00,4.83
2602,75.00,117.00,3.83
2603,75.00,118.00,2.83
2604,75.00,119.00,2.00
2605,75.00,120.00,1.00
2606,75.00,121.00,0.00
2607,75.00,122.00,1.00
2608,75.00,123.00,1.41
2609,75.00,124.00,2.41
2610,75.00,125.00,3.41
2611,75.00,126.00,4.24
2612,75.00,127.00,5.24
2613,75.00,128.00,6.24
2614,75.00,129.00,7.24
2615,75.00,130.00,8.24
2616,75.00,131.00,9.24
2617,76.00,112.00,9.24
2618,76.00,113.00,8.24
2619,76.00,114.00,7.24
2620,76.00,115.00,6.24
2621,76.00,116.00,5.24
2622,76.00,117.00,4.24
2623,76.00,118.00,3.41
2624,76.00,119.00,2.41
2625,76.00,120.00,1.41
2626,76.00,121.00,1.00
2627,76.00,122.00,0.00
2628,76.00,123.00,1.00
2629,76.00,124.00,2.00
2630,76.00,125.00,2.83
2631,76.00,126.00,3.83
2632,76.00,127.00,4.83
2633,76.00,128.00,5.83
2634,76.00,129.00,6.83
2635,76.00,130.00,7.83
2636,76.00,131.00,8.83
2637,77.00,113.00,8.66
2638,77.00,114.00,7.66
2639,77.00,115.00,6.66
2640,77.00,116.00,5.66
2641,77.00,117.00,4.83
2642,77.00,118.00,3.83
2643,77.00,119.00,2.83
2644,77.00,120.00,2.00
2645,77.00,121.00,1.00
2646,77.00,122.00,0.00
2647,77.00,123.00,1.00
2648,77.00,124.00,1.41
2649,77.00,125.00,2.41
2650,77.00,126.00,3.41
2651,77.00,127.00,4.41
2652,77.00,128.00,5.41
2653,77.00,129.00,6.41
2654,77.00,130.00,7.41
2655,77.00,131.00,8.41
2656,78.00,113.00,9.00
2657,78.00,114.00,8.00
2658,78.00,115.00,7.00
2659,78.00,116.00,6.00
2660,78.00,117.00,5.00
2661,78.00,118.00,4.00
2662,78.00,119.00,3.00
2663,78.00,120.00,2.00
2664,78.00,121.00,1.00
2665,78.00,122.00,0.00
2666,78.00,123.00,0.00
2667,78.00,124.00,1.00
2668,78.00,125.00,2.00
2669,78.00,126.00,3.00
2670,78.00,127.00,4.00
2671,78.00,128.00,5.00
2672,78.00,129.00,6.00
2673,78.00,130.00,7.00
2674,78.00,131.00,8.00
2675,78.00,132.00,9.00
2676,79.00,114.00,8.41
2677,79.00,115.00,7.41
2678,79.00,116.00,6.41
2679,79.00,117.00,5.41
2680,79.00,118.00,4.41
2681,79.00,119.00,3.41
2682,79.00,120.00,2.41
2683,79.00,121.00,1.41
2684,79.00,122.00,1.00
2685,79.00,123.00,0.00
2686,79.00,124.00,1.00
2687,79.00,125.00,2.00
2688,79.00,126.00,2.83
2689,79.00,127.00,3.83
2690,79.00,128.00,4.83
2691,79.00,129.00,5.83
2692,79.00,130.00,6.83
2693,79.00,131.00,7.83
2694,79.00,132.00,8.83
2695,80.00,114.00,8.83
2696,80.00,115.00,7.83
2697,80.00,116.00,6.83
2698,80.00,117.00,5.83
2699,80.00,118.00,4.83
2700,80.00,119.00,3.83
2701,80.00,120.00,2.83
2702,80.00,121.00,2.00
2703,80.00,122.00,1.00
2704,80.00,123.00,0.00
2705,80.00,124.00,1.00
2706,80.00,125.00,1.41
2707,80.00,126.00,2.41
2708,80.00,127.00,3.41
2709,80.00,128.00,4.41
2710,80.00,129.00,5.41
2711,80.00,130.00,6.41
2712,80.00,131.00,7.41
2713,80.00,132.00,8.41
2714,80.00,133.00,9.41
2715,81.00,114.00,9.24
2716,81.00,115.00,8.24
2717,81.00,116.00,7.24
2718,81.00,117.00,6.24
2719,81.00,118.00,5.24
2720,81.00,119.00,4.24
2721,81.00,120.00,3.41
2722,81.00,121.00,2.41
2723,81.00,122.00,1.41
2724,81.00,123.00,1.00
2725,81.00,124.00,0.00
2726,81.00,125.00,1.00
2727,81.00,126.00,2.00
2728,81.00,127.00,3.00
2729,81.00,128.00,4.00
2730,81.00,129.00,5.00
2731,81.00,130.00,6.00
2732,81.00,131.00,7.00
2733,81.00,132.00,8.00
2734,81.00,133.00,9.00
2735,82.00,115.00,8.66
2736,82.00,116.00,7.66
2737,82.00,117.00,6.66
2738,82.00,118.00,5.66
2739,82.00,119.00,4.83
2740,82.00,120.00,3.83
2741,82.00,121.00,2.83
2742,82.00,122.00,2.00
2743,82.00,123.00,1.00
2744,82.00,124.00,0.00
2745,82.00,125.00,1.00
2746,82.00,126.00,2.00
2747,82.00,127.00,2.83
2748,82.00,128.00,3.83
2749,82.00,129.00,4.83
2750,82.00,130.00,5.83
2751,82.00,131.00,6.83
2752,82.00,132.00,7.83
2753,82.00,133.00,8.83
2754,83.00,115.00,9.00
2755,83.00,116.00,8.00
2756,83.00,117.00,7.00
2757,83.00,118.00,6.00
2758,83.00,119.00,5.00
2759,83.00,120.00,4.00
2760,83.00,121.00,3.00
2761,83.00,122.00,2.00
2762,83.00,123.00,1.00
2763,83.00,124.00,0.00
2764,83.00,125.00,1.00
2765,83.00,126.00,1.41
2766,83.00,127.00,2.41
2767,83.00,128.00,3.41
2768,83.00,129.00,4.41
2769,83.00,130.00,5.41
2770,83.00,131.00,6.41
2771,83.00,132.00,7.41
2772,83.00,133.00,8.41
2773,83.00,134.00,9.41
2774,84.00,115.00,9.41
2775,84.00,116.00,8.41
2776,84.00,117.00,7.41
2777,84.00,118.00,6.41
2778,84.00,119.00,5.41
2779,84.00,120.00,4.41
2780,84.00,121.00,3.41
2781,84.00,122.00,2.41
2782,84.00,123.00,1.41
2783,84.00,124.00,1.00
2784,84.00,125.00,0.00
2785,84.00,126.00,1.00
2786,84.00,127.00,2.00
2787,84.00,128.00,3.00
2788,84.00,129.00,4.00
2789,84.00,130.00,5.00
2790,84.00,131.00,6.00
2791,84.00,132.00,7.00
2792,84.00,133.00,8.00
2793,84.00,134.00,9.00
2794,85.00,116.00,8.83
2795,85.00,117.00,7.83
2796,85.00,118.00,6.83
2797,85.00,119.00,5.83
2798,85.00,120.00,4.83
2799,85.00,121.00,3.83
2800,85.00,122.00,2.83
2801,85.00,123.00,2.00
2802,85.00,124.00,1.00
2803,85.00,125.00,0.00
2804,85.00,126.00,1.00
2805,85.00,127.00,2.00
2806,85.00,128.00,2.83
2807,85.00,129.00,3.83
2808,85.00,130.00,4.83
2809,85.00,131.00,5.83
2810,85.00,132.00,6.83
2811,85.00,133.00,7.83
2812,85.00,134.00,8.83
2813,86.00,116.00,9.00
2814,86.00,117.00,8.00
2815,86.00,118.00,7.00
2816,86.00,119.00,6.00
2817,86.00,120.00,5.00
2818,86.00,121.00,4.00
2819,86.00,122.00,3.00
2820,86.00,123.00,2.00
2821,86.00,124.00,1.00
2822,86.00,125.00,0.00
2823,86.00,126.00,1.00
2824,86.00,127.00,1.41
2825,86.00,128.00,2.41
2826,86.00,129.00,3.41
2827,86.00,130.00,4.41
2828,86.00,131.00,5.41
2829,86.00,132.00,6.41
2830,86.00,133.00,7.41
2831,86.00,134.00,8.41
2832,87.00,117.00,8.41
2833,87.00,118.00,7.41
2834,87.00,119.00,6.41
2835,87.00,120.00,5.41
2836,87.00,121.00,4.41
2837,87.00,122.00,3.41
2838,87.00,123.00,2.41
2839,87.00,124.00,1.41
2840,87.00,125.00,1.00
2841,87.00,126.00,0.00
2842,87.00,127.00,1.00
2843,87.00,128.00,2.00
2844,87.00,129.00,3.00
2845,87.00,130.00,4.00
2846,87.00,131.00,5.00
2847,87.00,132.00,6.00
2848,87.00,133.00,7.00
2849,87.00,134.00,8.00
2850,88.00,117.00,8.83
2851,88.00,118.00,7.83
2852,88.00,119.00,6.83
2853,88.00,120.00,5.83
2854,88.00,121.00,4.83
2855,88.00,122.00,3.83
2856,88.00,123.00,2.83
2857,88.00,124.00,2.00
2858,88.00,125.00,1.00
2859,88.00,126.00,0.00
2860,88.00,127.00,1.00
2861,88.00,128.00,2.00
2862,88.00,129.00,3.00
2863,88.00,130.00,4.00
2864,88.00,131.00,5.00
2865,88.00,132.00,6.00
2866,88.00,133.00,7.00
2867,88.00,134.00,8.00
2868,88.00,135.00,9.00
2869,89.00,117.00,9.00
2870,89.00,118.00,8.00
2871,89.00,119.00,7.00
2872,89.00,120.00,6.00
2873,89.00,121.00,5.00
2874,89.00,122.00,4.00
2875,89.00,123.00,3.00
2876,89.00,124.00,2.00
2877,89.00,125.00,1.00
2878,89.00,126.00,0.00
2879,89.00,127.00,1.00
2880,89.00,128.00,2.00
2881,89.00,129.00,3.00
2882,89.00,130.00,4.00
2883,89.00,131.00,5.00
2884,89.00,132.00,6.00
2885,89.00,133.00,7.00
2886,89.00,134.00,8.00
2887,89.00,135.00,9.00
2888,90.00,117.00,9.00
2889,90.00,118.00,8.00
2890,90.00,119.00,7.00
2891,90.00,120.00,6.00
2892,90.00,121.00,5.00
2893,90.00,122.00,4.00
2894,90.00,123.00,3.00
2895,90.00,124.00,2.00
2896,90.00,125.00,1.00
2897,90.00,126.00,0.00
2898,90.00,127.00,1.00
2899,90.00,128.00,2.00
2900,90.00,129.00,3.00
2901,90.00,130.00,4.00
2902,90.00,131.00,5.00
2903,90.00,132.00,6.00
2904,90.00,133.00,7.00
2905,90.00,134.00,8.00
2906,90.00,135.00,9.00
2907,91.00,117.00,9.00
2908,91.00,118.00,8.00
2909,91.00,119.00,7.00
2910,91.00,120.00,6.00
2911,91.00,121.00,5.00
2912,91.00,122.00,4.00
2913,91.00,123.00,3.00
2914,91.00,124.00,2.00
2915,91.00,125.00,1.00
2916,91.00,126.00,0.00
2917,91.00,127.00,1.00
2918,91.00,128.00,2.00
2919,91.00,129.00,3.00
2920,91.00,130.00,4.00
2921,91.00,131.00,5.00
2922,91.00,132.00,6.00
2923,91.00,133.00,7.00
2924,91.00,134.00,8.00
2925,91.00,135.00,9.00
2926,92.00,117.00,9.00
2927,92.00,118.00,8.00
2928,92.00,119.00,7.00
2929,92.00,120.00,6.00
2930,92.00,121.00,5.00
2931,92.00,122.00,4.00
2932,92.00,123.00,3.00
2933,92.00,124.00,2.00
2934,92.00,125.00,1.00
2935,92.00,126.00,0.00
2936,92.00,127.00,1.00
2937,92.00,128.00,2.00
2938,92.00,129.00,3.00
2939,92.00,130.00,4.00
2940,92.00,131.00,5.00
2941,92.00,132.00,6.00
2942,92.00,133.00,7.00
2943,92.00,134.00,8.00
2944,92.00,135.00,9.00
2945,93.00,117.00,9.00
2946,93.00,118.00,8.00
2947,93.00,119.00,7.00
2948,93.00,120.00,6.00
2949,93.00,121.00,5.00
2950,93.00,122.00,4.00
2951,93.00,123.00,3.00
2952,93.00,124.00,2.00
2953,93.00,125.00,1.00
2954,93.00,126.00,0.00
2955,93.00,127.00,1.00
2956,93.00,128.00,2.00
2957,93.00,129.00,3.00
2958,93.00,130.00,4.00
2959,93.00,131.00,5.00
2960,93.00,132.00,6.00
2961,93.00,133.00,7.00
2962,93.00,134.00,8.00
2963,93.00,135.00,9.00
2964,94.00,117.00,9.00
2965,94.00,118.00,8.00
2966,94.00,119.00,7.00
2967,94.00,120.00,6.00
2968,94.00,121.00,5.00
2969,94.00,122.00,4.00
2970,94.00,123.00,3.00
2971,94.00,124.00,2.00
2972,94.00,125.00,1.00
2973,94.00,126.00,0.00
2974,94.00,127.00,1.00
2975,94.00,128.00,2.00
2976,94.00,129.00,3.00
2977,94.00,130.00,4.00
2978,94.00,131.00,5.00
2979,94.00,132.00,6.00
2980,94.00,133.00,7.00
2981,94.00,134.00,8.00
2982,94.00,135.00,9.00
2983,95.00,117.00,8.83
2984,95.00,118.00,7.83
2985,95.00,119.00,6.83
2986,95.00,120.00,5.83
2987,95.00,121.00,4.83
2988,95.00,122.00,3.83
2989,95.00,123.00,2.83
2990,95.00,124.00,2.00
2991,95.00,125.00,1.00
2992,95.00,126.00,0.00
2993,95.00,127.00,1.00
2994,95.00,128.00,2.00
2995,95.00,129.00,3.00
2996,95.00,130.00,4.00
2997,95.00,131.00,5.00
2998,95.00,132.00,6.00
2999,95.00,133.00,7.00
3000,95.00,134.00,8.00
3001,95.00,135.00,9.00
3002,96.00,117.00,8.41
3003,96.00,118.00,7.41
3004,96.00,119.00,6.41
3005,96.00,120.00,5.41
3006,96.00,121.00,4.41
3007,96.00,122.00,3.41
3008,96.00,123.00,2.41
3009,96.00,124.00,1.41
3010,96.00,125.00,1.00
3011,96.00,126.00,0.00
3012,96.00,127.00,1.00
3013,96.00,128.00,2.00
3014,96.00,129.00,3.00
3015,96.00,130.00,4.00
3016,96.00,131.00,5.00
3017,96.00,132.00,6.00
3018,96.00,133.00,7.00
3019,96.00,134.00,8.00
3020,97.00,116.00,9.00
3021,97.00,117.00,8.00
3022,97.00,118.00,7.00
3023,97.00,119.00,6.00
3024,97.00,120.00,5.00
3025,97.00,121.00,4.00
3026,97.00,122.00,3.00
3027,97.00,123.00,2.00
3028,97.00,124.00,1.00
3029,97.00,125.00,0.00
3030,97.00,126.00,1.00
3031,97.00,127.00,1.41
3032,97.00,128.00,2.41
3033,97.00,129.00,3.41
3034,97.00,130.00,4.41
3035,97.00,131.00,5.41
3036,97.00,132.00,6.41
3037,97.00,133.00,7.41
3038,97.00,134.00,8.41
3039,98.00,115.00,9.49
3040,98.00,116.00,8.49
3041,98.00,117.00,7.66
3042,98.00,118.00,6.66
3043,98.00,119.00,5.66
3044,98.00,120.00,4.83
3045,98.00,121.00,3.83
3046,98.00,122.00,2.83
3047,98.00,123.00,2.00
3048,98.00,124.00,1.00
3049,98.00,125.00,0.00
3050,98.00,126.00,1.00
3051,98.00,127.00,2.00
3052,98.00,128.00,2.83
3053,98.00,129.00,3.83
3054,98.00,130.00,4.83
3055,98.00,131.00,5.83
3056,98.00,132.00,6.83
3057,98.00,133.00,7.83
3058,98.00,134.00,8.83
3059,99.00,115.00,8.49
3060,99.00,116.00,8.07
3061,99.00,117.00,7.07
3062,99.00,118.00,6.24
3063,99.00,119.00,5.24
3064,99.00,120.00,4.24
3065,99.00,121.00,3.41
3066,99.00,122.00,2.41
3067,99.00,123.00,1.41
3068,99.00,124.00,1.00
3069,99.00,125.00,0.00
3070,99.00,126.00,1.00
3071,99.00,127.00,2.00
3072,99.00,128.00,3.00
3073,99.00,129.00,4.00
3074,99.00,130.00,5.00
3075,99.00,131.00,6.00
3076,99.00,132.00,7.00
3077,99.00,133.00,8.00
3078,99.00,134.00,9.00
3079,100.00,114.00,8.49
3080,100.00,115.00,8.07
3081,100.00,116.00,7.07
3082,100.00,117.00,6.66
3083,100.00,118.00,5.66
3084,100.00,119.00,4.83
3085,100.00,120.00,3.83
3086,100.00,121.00,2.83
3087,100.00,122.00,2.00
3088,100.00,123.00,1.00
3089,100.00,124.00,0.00
3090,100.00,125.00,1.00
3091,100.00,126.00,1.41
3092,100.00,127.00,2.41
3093,100.00,128.00,3.41
3094,100.00,129.00,4.41
3095,100.00,130.00,5.41
3096,100.00,131.00,6.41
3097,100.00,132.00,7.41
3098,100.00,133.00,8.41
3099,100.00,134.00,9.41
3100,101.00,113.00,8.49
3101,101.00,114.00,8.07
3102,101.00,115.00,7.07
3103,101.00,116.00,6.66
3104,101.00,117.00,5.66
3105,101.00,118.00,5.24
3106,101.00,119.00,4.24
3107,101.00,120.00,3.41
3108,101.00,121.00,2.41
3109,101.00,122.00,1.41
3110,101.00,123.00,1.00
3111,101.00,124.00,0.00
3112,101.00,125.00,1.00
3113,101.00,126.00,2.00
3114,101.00,127.00,2.83
3115,101.00,128.00,3.83
3116,101.00,129.00,4.83
3117,101.00,130.00,5.83
3118,101.00,131.00,6.83
3119,101.00,132.00,7.83
3120,101.00,133.00,8.83
3121,102.00,111.00,9.49
3122,102.00,112.00,8.49
3123,102.00,113.00,8.07
3124,102.00,114.00,7.07
3125,102.00,115.00,6.66
3126,102.00,116.00,5.66
3127,102.00,117.00,5.24
3128,102.00,118.00,4.24
3129,102.00,119.00,3.83
3130,102.00,120.00,2.83
3131,102.00,121.00,2.00
3132,102.00,122.00,1.00
3133,102.00,123.00,0.00
3134,102.00,124.00,1.00
3135,102.00,125.00,1.41
3136,102.00,126.00,2.41
3137,102.00,127.00,3.41
3138,102.00,128.00,4.24
3139,102.00,129.00,5.24
3140,102.00,130.00,6.24
3141,102.00,131.00,7.24
3142,102.00,132.00,8.24
3143,102.00,133.00,9.24
3144,103.00,110.00,9.07
3145,103.00,111.00,8.49
3146,103.00,112.00,8.07
3147,103.00,113.00,7.07
3148,103.00,114.00,6.66
3149,103.00,115.00,5.66
3150,103.00,116.00,5.24
3151,103.00,117.00,4.24
3152,103.00,118.00,3.83
3153,103.00,119.00,2.83
3154,103.00,120.00,2.41
3155,103.00,121.00,1.41
3156,103.00,122.00,1.00
3157,103.00,123.00,0.00
3158,103.00,124.00,1.00
3159,103.00,125.00,2.00
3160,103.00,126.00,2.83
3161,103.00,127.00,3.83
3162,103.00,128.00,4.83
3163,103.00,129.00,5.66
3164,103.00,130.00,6.66
3165,103.00,131.00,7.66
3166,103.00,132.00,8.66
3167,103.00,133.00,9.66
3168,104.00,108.00,9.49
3169,104.00,109.00,8.49
3170,104.00,110.00,8.07
3171,104.00,111.00,7.66
3172,104.00,112.00,7.07
3173,104.00,113.00,6.66
3174,104.00,114.00,5.66
3175,104.00,115.00,5.24
3176,104.00,116.00,4.24
3177,104.00,117.00,3.83
3178,104.00,118.00,2.83
3179,104.00,119.00,2.41
3180,104.00,120.00,1.41
3181,104.00,121.00,1.00
3182,104.00,122.00,0.00
3183,104.00,123.00,1.00
3184,104.00,124.00,1.41
3185,104.00,125.00,2.41
3186,104.00,126.00,3.41
3187,104.00,127.00,4.24
3188,104.00,128.00,5.24
3189,104.00,129.00,6.24
3190,104.00,130.00,7.07
3191,104.00,131.00,8.07
3192,104.00,132.00,9.07
3193,105.00,107.00,9.07
3194,105.00,108.00,8.49
3195,105.00,109.00,8.07
3196,105.00,110.00,7.07
3197,105.00,111.00,6.66
3198,105.00,112.00,6.24
3199,105.00,113.00,5.66
3200,105.00,114.00,5.24
3201,105.00,115.00,4.24
3202,105.00,116.00,3.83
3203,105.00,117.00,2.83
3204,105.00,118.00,2.41
3205,105.00,119.00,1.41
3206,105.00,120.00,1.00
3207,105.00,121.00,0.00
3208,105.00,122.00,1.00
3209,105.00,123.00,1.41
3210,105.00,124.00,2.41
3211,105.00,125.00,2.83
3212,105.00,126.00,3.83
3213,105.00,127.00,4.83
3214,105.00,128.00,5.66
3215,105.00,129.00,6.66
3216,105.00,130.00,7.66
3217,105.00,131.00,8.49
3218,105.00,132.00,9.49
3219,106.00,105.00,9.07
3220,106.00,106.00,8.49
3221,106.00,107.00,8.07
3222,106.00,108.00,7.66
3223,106.00,109.00,7.07
3224,106.00,110.00,6.66
3225,106.00,111.00,5.66
3226,106.00,112.00,5.24
3227,106.00,113.00,4.83
3228,106.00,114.00,4.24
3229,106.00,115.00,3.83
3230,106.00,116.00,2.83
3231,106.00,117.00,2.41
3232,106.00,118.00,1.41
3233,106.00,119.00,1.00
3234,106.00,120.00,0.00
3235,106.00,121.00,0.00
3236,106.00,122.00,1.00
3237,106.00,123.00,2.00
3238,106.00,124.00,2.83
3239,106.00,125.00,3.83
3240,106.00,126.00,4.24
3241,106.00,127.00,5.24
3242,106.00,128.00,6.24
3243,106.00,129.00,7.07
3244,106.00,130.00,8.07
3245,106.00,131.00,9.07
3246,107.00,104.00,8.49
3247,107.00,105.00,8.07
3248,107.00,106.00,7.66
3249,107.00,107.00,7.07
3250,107.00,108.00,6.66
3251,107.00,109.00,6.24
3252,107.00,110.00,5.66
3253,107.00,111.00,5.24
3254,107.00,112.00,4.24
3255,107.00,113.00,3.83
3256,107.00,114.00,3.41
3257,107.00,115.00,2.83
3258,107.00,116.00,2.41
3259,107.00,117.00,1.41
3260,107.00,118.00,1.00
3261,107.00,119.00,0.00
3262,107.00,120.00,0.00
3263,107.00,121.00,1.00
3264,107.00,122.00,1.41
3265,107.00,123.00,2.41
3266,107.00,124.00,3.41
3267,107.00,125.00,4.24
3268,107.00,126.00,5.24
3269,107.00,127.00,5.66
3270,107.00,128.00,6.66
3271,107.00,129.00,7.66
3272,107.00,130.00,8.49
3273,107.00,131.00,9.49
3274,108.00,102.00,9.07
3275,108.00,103.00,8.49
3276,108.00,104.00,8.07
3277,108.00,105.00,7.07
3278,108.00,106.00,6.66
3279,108.00,107.00,6.24
3280,108.00,108.00,5.66
3281,108.00,109.00,5.24
3282,108.00,110.00,4.83
3283,108.00,111.00,4.24
3284,108.00,112.00,3.83
3285,108.00,113.00,2.83
3286,108.00,114.00,2.41
3287,108.00,115.00,2.00
3288,108.00,116.00,1.41
3289,108.00,117.00,1.00
3290,108.00,118.00,0.00
3291,108.00,119.00,1.00
3292,108.00,120.00,1.00
3293,108.00,121.00,1.41
3294,108.00,122.00,2.41
3295,108.00,123.00,2.83
3296,108.00,124.00,3.83
3297,108.00,125.00,4.83
3298,108.00,126.00,5.66
3299,108.00,127.00,6.66
3300,108.00,128.00,7.07
3301,108.00,129.00,8.07
3302,108.00,130.00,9.07
3303,109.00,101.00,8.49
3304,109.00,102.00,8.07
3305,109.00,103.00,7.66
3306,109.00,104.00,7.07
3307,109.00,105.00,6.66
3308,109.00,106.00,5.66
3309,109.00,107.00,5.24
3310,109.00,108.00,4.83
3311,109.00,109.00,4.24
3312,109.00,110.00,3.83
3313,109.00,111.00,3.41
3314,109.00,112.00,2.83
3315,109.00,113.00,2.41
3316,109.00,114.00,1.41
3317,109.00,115.00,1.00
3318,109.00,116.00,1.00
3319,109.00,117.00,0.00
3320,109.00,118.00,1.00
3321,109.00,119.00,1.41
3322,109.00,120.00,2.00
3323,109.00,121.00,2.41
3324,109.00,122.00,2.83
3325,109.00,123.00,3.83
3326,109.00,124.00,4.24
3327,109.00,125.00,5.24
3328,109.00,126.00,6.24
3329,109.00,127.00,7.07
3330,109.00,128.00,8.07
3331,109.00,129.00,8.49
3332,110.00,99.00,9.07
3333,110.00,100.00,8.49
3334,110.00,101.00,8.07
3335,110.00,102.00,7.07
3336,110.00,103.00,6.66
3337,110.00,104.00,6.24
3338,110.00,105.00,5.66
3339,110.00,106.00,5.24
3340,110.00,107.00,4.24
3341,110.00,108.00,3.83
3342,110.00,109.00,3.41
3343,110.00,110.00,2.83
3344,110.00,111.00,2.41
3345,110.00,112.00,2.00
3346,110.00,113.00,1.41
3347,110.00,114.00,1.00
3348,110.00,115.00,0.00
3349,110.00,116.00,0.00
3350,110.00,117.00,1.00
3351,110.00,118.00,1.41
3352,110.00,119.00,2.41
3353,110.00,120.00,2.83
3354,110.00,121.00,3.41
3355,110.00,122.00,3.83
3356,110.00,123.00,4.24
3357,110.00,124.00,5.24
3358,110.00,125.00,5.66
3359,110.00,126.00,6.66
3360,110.00,127.00,7.66
3361,110.00,128.00,8.49
3362,110.00,129.00,9.49
3363,111.00,97.00,9.49
3364,111.00,98.00,8.49
3365,111.00,99.00,8.07
3366,111.00,100.00,7.66
3367,111.00,101.00,7.07
3368,111.00,102.00,6.66
3369,111.00,103.00,5.66
3370,111.00,104.00,5.24
3371,111.00,105.00,4.83
3372,111.00,106.00,4.24
3373,111.00,107.00,3.83
3374,111.00,108.00,2.83
3375,111.00,109.00,2.41
3376,111.00,110.00,2.00
3377,111.00,111.00,1.41
3378,111.00,112.00,1.00
3379,111.00,113.00,1.00
3380,111.00,114.00,0.00
3381,111.00,115.00,1.00
3382,111.00,116.00,1.00
3383,111.00,117.00,1.41
3384,111.00,118.00,2.41
3385,111.00,119.00,2.83
3386,111.00,120.00,3.83
3387,111.00,121.00,4.24
3388,111.00,122.00,4.83
3389,111.00,123.00,5.24
3390,111.00,124.00,5.66
3391,111.00,125.00,6.66
3392,111.00,126.00,7.07
3393,111.00,127.00,8.07
3394,111.00,128.00,9.07
3395,112.00,96.00,9.07
3396,112.00,97.00,8.49
3397,112.00,98.00,8.07
3398,112.00,99.00,7.07
3399,112.00,100.00,6.66
3400,112.00,101.00,6.24
3401,112.00,102.00,5.66
3402,112.00,103.00,5.24
3403,112.00,104.00,4.24
3404,112.00,105.00,3.83
3405,112.00,106.00,3.41
3406,112.00,107.00,2.83
3407,112.00,108.00,2.41
3408,112.00,109.00,1.41
3409,112.00,110.00,1.00
3410,112.00,111.00,1.00
3411,112.00,112.00,0.00
3412,112.00,113.00,0.00
3413,112.00,114.00,1.00
3414,112.00,115.00,1.41
3415,112.00,116.00,2.00
3416,112.00,117.00,2.41
3417,112.00,118.00,2.83
3418,112.00,119.00,3.83
3419,112.00,120.00,4.24
3420,112.00,121.00,5.24
3421,112.00,122.00,5.66
3422,112.00,123.00,6.24
3423,112.00,124.00,6.66
3424,112.00,125.00,7.07
3425,112.00,126.00,8.07
3426,112.00,127.00,8.49
3427,113.00,94.00,9.07
3428,113.00,95.00,8.49
3429,113.00,96.00,8.07
3430,113.00,97.00,7.66
3431,113.00,98.00,7.07
3432,113.00,99.00,6.66
3433,113.00,100.00,5.66
3434,113.00,101.00,5.24
3435,113.00,102.00,4.83
3436,113.00,103.00,4.24
3437,113.00,104.00,3.83
3438,113.00,105.00,2.83
3439,113.00,106.00,2.41
3440,113.00,107.00,2.00
3441,113.00,108.00,1.41
3442,113.00,109.00,1.00
3443,113.00,110.00,0.00
3444,113.00,111.00,0.00
3445,113.00,112.00,1.00
3446,113.00,113.00,1.00
3447,113.00,114.00,1.41
3448,113.00,115.00,2.41
3449,113.00,116.00,2.83
3450,113.00,117.00,3.41
3451,113.00,118.00,3.83
3452,113.00,119.00,4.24
3453,113.00,120.00,5.24
3454,113.00,121.00,5.66
3455,113.00,122.00,6.66
3456,113.00,123.00,7.07
3457,113.00,124.00,7.66
3458,113.00,125.00,8.07
3459,113.00,126.00,8.49
3460,114.00,93.00,8.49
3461,114.00,94.00,8.07
3462,114.00,95.00,7.66
3463,114.00,96.00,7.07
3464,114.00,97.00,6.66
3465,114.00,98.00,6.24
3466,114.00,99.00,5.66
3467,114.00,100.00,5.24
3468,114.00,101.00,4.24
3469,114.00,102.00,3.83
3470,114.00,103.00,3.41
3471,114.00,104.00,2.83
3472,114.00,105.00,2.41
3473,114.00,106.00,1.41
3474,114.00,107.00,1.00
3475,114.00,108.00,1.00
3476,114.00,109.00,0.00
3477,114.00,110.00,0.00
3478,114.00,111.00,1.00
3479,114.00,112.00,1.41
3480,114.00,113.00,2.00
3481,114.00,114.00,2.41
3482,114.00,115.00,2.83
3483,114.00,116.00,3.83
3484,114.00,117.00,4.24
3485,114.00,118.00,4.83
3486,114.00,119.00,5.24
3487,114.00,120.00,5.66
3488,114.00,121.00,6.66
3489,114.00,122.00,7.07
3490,114.00,123.00,8.07
3491,114.00,124.00,8.49
3492,114.00,125.00,9.07
3493,115.00,91.00,9.07
3494,115.00,92.00,8.49
3495,115.00,93.00,8.07
3496,115.00,94.00,7.07
3497,115.00,95.00,6.66
3498,115.00,96.00,6.24
3499,115.00,97.00,5.66
3500,115.00,98.00,5.24
3501,115.00,99.00,4.83
3502,115.00,100.00,4.24
3503,115.00,101.00,3.83
3504,115.00,102.00,2.83
3505,115.00,103.00,2.41
3506,115.00,104.00,2.00
3507,115.00,105.00,1.41
3508,115.00,106.00,1.00
3509,115.00,107.00,0.00
3510,115.00,108.00,0.00
3511,115.00,109.00,1.00
3512,115.00,110.00,1.00
3513,115.00,111.00,1.41
3514,115.00,112.00,2.41
3515,115.00,113.00,2.83
3516,115.00,114.00,3.41
3517,115.00,115.00,3.83
3518,115.00,116.00,4.24
3519,115.00,117.00,5.24
3520,115.00,118.00,5.66
3521,115.00,119.00,6.24
3522,115.00,120.00,6.66
3523,115.00,121.00,7.07
3524,115.00,122.00,8.07
3525,115.00,123.00,8.49
3526,115.00,124.00,9.49
3527,116.00,89.00,9.49
3528,116.00,90.00,8.49
3529,116.00,91.00,8.07
3530,116.00,92.00,7.66
3531,116.00,93.00,7.07
